日付,年,月,日,曜日,平均気温,最高気温,最低気温,湿度,降水量,気圧,風速,日照時間,観測地点,天気
2023-02-18,2023,2,18,土,4.9,11.4,2.1,45.0,0.0,1011.5,0.4,7.5,東京,晴れ
2023-02-19,2023,2,19,日,3.1,6.0,0.5,75.0,0.0,1012.8,6.2,3.3,東京,雨
2023-02-20,2023,2,20,月,8.6,11.1,4.7,47.0,1.8,1002.9,8.3,7.4,東京,晴れ
2023-02-21,2023,2,21,火,4.0,10.7,-0.9,80.0,0.8,1022.6,9.3,6.2,東京,晴れ
2023-02-22,2023,2,22,水,10.4,13.0,6.0,61.0,1.2,1004.1,3.9,7.3,東京,晴れ
2023-02-23,2023,2,23,木,12.7,16.7,10.3,58.0,0.0,1015.3,3.0,6.9,東京,雪
2023-02-24,2023,2,24,金,0.8,6.3,-1.7,57.0,0.0,1022.9,0.6,5.0,東京,雨
2023-02-25,2023,2,25,土,5.2,10.2,3.8,55.0,0.0,1012.8,0.9,3.9,東京,曇り
2023-02-26,2023,2,26,日,4.7,10.0,1.3,38.0,0.0,1019.8,1.0,7.9,東京,晴れ
2023-02-27,2023,2,27,月,3.2,6.2,-1.1,47.0,0.0,1011.9,2.0,5.0,東京,雨
2023-02-28,2023,2,28,火,6.5,11.1,6.7,55.0,0.0,1018.8,4.1,8.6,東京,晴れ
2023-03-01,2023,3,1,水,10.1,12.8,4.9,51.0,2.0,1010.2,4.4,3.6,東京,雨
2023-03-02,2023,3,2,木,17.4,25.8,11.5,51.0,8.0,1018.4,0.3,9.2,東京,雪
2023-03-03,2023,3,3,金,19.1,26.8,15.4,55.0,2.2,1021.0,1.0,7.4,東京,曇り
2023-03-04,2023,3,4,土,12.8,16.7,12.0,69.0,0.9,1005.2,4.8,6.2,東京,晴れ
2023-03-05,2023,3,5,日,17.9,22.0,14.9,73.0,10.2,1015.4,1.1,8.6,東京,晴れ
2023-03-06,2023,3,6,月,13.1,20.0,8.8,66.0,0.0,1006.0,0.3,5.1,東京,曇り
2023-03-07,2023,3,7,火,7.7,13.9,2.6,63.0,0.0,1019.5,4.2,9.3,東京,晴れ
2023-03-08,2023,3,8,水,20.8,27.2,18.4,50.0,4.9,1006.5,7.1,6.0,東京,曇り
2023-03-09,2023,3,9,木,11.4,14.9,5.8,75.0,13.8,1016.8,0.5,7.8,東京,晴れ
2023-03-10,2023,3,10,金,13.0,18.7,8.9,52.0,0.0,1018.4,1.7,6.8,東京,曇り
2023-03-11,2023,3,11,土,18.8,22.1,10.2,77.0,0.0,1008.7,4.0,5.2,東京,晴れ
2023-03-12,2023,3,12,日,21.5,25.0,19.2,66.0,1.0,1023.0,0.9,8.4,東京,雨
2023-03-13,2023,3,13,月,6.3,11.4,6.9,72.0,7.1,1017.7,1.4,8.2,東京,晴れ
2023-03-14,2023,3,14,火,12.7,20.5,7.2,74.0,0.0,1017.9,3.2,6.7,東京,曇り
2023-03-15,2023,3,15,水,14.2,20.4,8.4,61.0,2.7,999.2,2.5,4.7,東京,雪
2023-03-16,2023,3,16,木,19.3,23.3,14.3,87.0,4.2,1011.9,3.1,7.8,東京,雪
2023-03-17,2023,3,17,金,18.2,26.2,15.1,86.0,3.7,1011.5,1.2,6.7,東京,雨
2023-03-18,2023,3,18,土,15.7,18.9,13.4,77.0,0.0,1009.9,13.7,8.2,東京,曇り
2023-03-19,2023,3,19,日,19.9,23.6,13.8,89.0,0.0,1016.4,0.1,8.2,東京,曇り
2023-03-20,2023,3,20,月,18.9,25.7,13.1,62.0,2.2,1012.0,1.4,7.4,東京,雪
2023-03-21,2023,3,21,火,14.4,26.1,6.5,65.0,0.0,1004.3,0.6,6.1,東京,晴れ
2023-03-22,2023,3,22,水,18.8,25.0,14.8,78.0,0.0,1006.2,2.8,7.6,東京,曇り
2023-03-23,2023,3,23,木,19.5,29.4,13.7,41.0,1.1,1003.4,6.6,9.2,東京,晴れ
2023-03-24,2023,3,24,金,21.9,31.7,18.4,45.0,0.0,1007.2,2.9,6.3,東京,晴れ
2023-03-25,2023,3,25,土,19.5,26.5,15.8,50.0,0.0,1001.4,1.6,9.3,東京,晴れ
2023-03-26,2023,3,26,日,15.9,19.9,12.9,59.0,0.9,1012.0,0.5,6.5,東京,雨
2023-03-27,2023,3,27,月,22.7,26.7,19.8,71.0,5.2,1012.2,2.0,8.6,東京,晴れ
2023-03-28,2023,3,28,火,7.6,11.9,3.4,62.0,0.0,1019.1,0.9,6.3,東京,晴れ
2023-03-29,2023,3,29,水,19.6,27.3,14.6,48.0,0.2,998.9,1.4,9.9,東京,晴れ
2023-03-30,2023,3,30,木,6.1,11.7,2.6,80.0,1.8,1013.6,1.3,2.8,東京,曇り
2023-03-31,2023,3,31,金,24.1,28.5,22.9,74.0,0.0,1015.6,6.2,6.4,東京,曇り
2023-04-01,2023,4,1,土,18.0,24.0,13.9,68.0,8.5,1010.9,12.7,6.0,東京,雨
2023-04-02,2023,4,2,日,15.7,23.0,11.1,64.0,7.1,1001.0,0.1,7.6,東京,晴れ
2023-04-03,2023,4,3,月,8.4,14.8,0.8,45.0,0.0,1014.2,0.2,6.2,東京,晴れ
2023-04-04,2023,4,4,火,17.1,21.2,12.6,63.0,0.5,1006.5,0.1,8.4,東京,雪
2023-04-05,2023,4,5,水,24.4,27.6,18.5,53.0,7.7,1010.6,2.0,6.6,東京,雨
2023-04-06,2023,4,6,木,13.3,19.1,5.5,73.0,0.0,1006.3,2.6,6.6,東京,晴れ
2023-04-07,2023,4,7,金,15.0,22.4,14.9,61.0,3.6,1018.3,1.7,6.4,東京,晴れ
2023-04-08,2023,4,8,土,17.3,21.5,13.4,59.0,0.0,1022.7,3.4,5.4,東京,雪
2023-04-09,2023,4,9,日,30.6,38.0,27.8,44.0,5.8,1016.3,0.9,3.2,東京,曇り
2023-04-10,2023,4,10,月,10.2,10.5,5.9,69.0,3.5,1024.5,5.4,6.7,東京,晴れ
2023-04-11,2023,4,11,火,12.8,19.7,10.4,77.0,9.6,1014.2,0.5,7.0,東京,曇り
2023-04-12,2023,4,12,水,9.8,15.0,5.6,52.0,0.0,1004.2,2.1,9.9,東京,雪
2023-04-13,2023,4,13,木,17.7,23.8,10.8,80.0,0.0,1012.8,14.9,7.1,東京,曇り
2023-04-14,2023,4,14,金,19.0,24.8,15.7,86.0,10.1,1018.8,4.1,8.3,東京,晴れ
2023-04-15,2023,4,15,土,15.4,19.4,10.0,47.0,0.0,1025.4,1.8,6.5,東京,晴れ
2023-04-16,2023,4,16,日,19.4,22.3,14.2,73.0,6.2,1005.8,0.4,8.4,東京,雨
2023-04-17,2023,4,17,月,11.1,14.7,6.3,62.0,3.2,1004.2,2.7,4.6,東京,雨
2023-04-18,2023,4,18,火,13.6,21.8,7.7,82.0,3.0,1026.7,5.2,8.0,東京,雨
2023-04-19,2023,4,19,水,28.8,34.6,21.9,52.0,0.0,1021.6,0.3,7.5,東京,晴れ
2023-04-20,2023,4,20,木,17.9,23.9,14.4,57.0,0.0,1019.8,2.1,6.1,東京,曇り
2023-04-21,2023,4,21,金,19.0,23.0,17.3,46.0,0.0,1006.9,1.4,5.6,東京,雨
2023-04-22,2023,4,22,土,18.5,23.1,12.3,83.0,0.0,1021.7,13.1,4.7,東京,晴れ
2023-04-23,2023,4,23,日,19.1,25.1,15.4,65.0,0.0,1021.5,8.7,5.5,東京,雪
2023-04-24,2023,4,24,月,14.3,20.7,9.3,47.0,0.0,1009.0,2.5,4.5,東京,雨
2023-04-25,2023,4,25,火,17.5,23.6,12.3,70.0,0.0,1006.4,6.0,5.5,東京,晴れ
2023-04-26,2023,4,26,水,21.1,26.4,17.8,69.0,0.0,996.8,7.5,6.5,東京,曇り
2023-04-27,2023,4,27,木,20.7,25.9,19.8,57.0,0.0,1014.1,2.5,9.1,東京,晴れ
2023-04-28,2023,4,28,金,16.6,23.7,14.3,65.0,0.0,1023.6,1.0,3.1,東京,晴れ
2023-04-29,2023,4,29,土,20.0,24.9,19.6,55.0,0.0,1005.4,1.0,7.2,東京,雪
2023-04-30,2023,4,30,日,6.9,14.4,6.1,58.0,9.2,1019.6,2.0,6.0,東京,晴れ
2023-05-01,2023,5,1,月,12.5,21.0,6.9,73.0,0.0,999.6,1.9,7.7,東京,晴れ
2023-05-02,2023,5,2,火,9.6,15.6,4.7,74.0,9.1,1003.9,0.6,4.3,東京,雨
2023-05-03,2023,5,3,水,12.2,18.0,8.6,71.0,0.0,1020.0,11.2,7.8,東京,雨
2023-05-04,2023,5,4,木,21.2,26.4,17.8,67.0,0.0,1004.1,1.7,6.8,東京,曇り
2023-05-05,2023,5,5,金,24.0,33.5,18.5,45.0,0.0,1025.6,0.8,4.3,東京,晴れ
2023-05-06,2023,5,6,土,12.2,18.4,6.3,83.0,2.6,1019.2,7.4,7.2,東京,曇り
2023-05-07,2023,5,7,日,11.0,16.5,5.9,51.0,10.7,1008.7,0.8,7.2,東京,曇り
2023-05-08,2023,5,8,月,18.3,25.2,16.0,99.0,0.0,1010.2,4.3,6.5,東京,雪
2023-05-09,2023,5,9,火,12.0,23.3,11.4,100.0,0.0,1012.8,0.3,8.3,東京,雨
2023-05-10,2023,5,10,水,22.7,27.1,15.4,74.0,0.2,1025.0,0.8,5.1,東京,曇り
2023-05-11,2023,5,11,木,16.5,23.1,8.5,66.0,0.0,1004.1,1.3,5.1,東京,晴れ
2023-05-12,2023,5,12,金,13.3,20.2,7.0,59.0,0.0,1002.0,0.3,8.4,東京,晴れ
2023-05-13,2023,5,13,土,17.0,23.1,16.0,79.0,0.0,1008.9,4.9,5.0,東京,雨
2023-05-14,2023,5,14,日,12.7,22.3,8.7,65.0,0.2,1013.5,1.4,5.6,東京,晴れ
2023-05-15,2023,5,15,月,18.2,20.5,17.2,56.0,0.0,1011.9,1.5,8.4,東京,晴れ
2023-05-16,2023,5,16,火,16.1,24.3,16.9,80.0,0.5,1013.3,2.4,4.8,東京,晴れ
2023-05-17,2023,5,17,水,24.5,28.6,22.4,47.0,2.7,1005.3,2.9,7.4,東京,晴れ
2023-05-18,2023,5,18,木,9.1,17.4,1.2,83.0,0.0,1008.6,10.1,7.8,東京,雨
2023-05-19,2023,5,19,金,19.8,26.1,16.6,64.0,0.0,1021.9,7.1,8.0,東京,晴れ
2023-05-20,2023,5,20,土,13.2,18.1,7.6,67.0,0.0,1013.4,2.7,7.2,東京,晴れ
2023-05-21,2023,5,21,日,12.8,18.5,9.7,62.0,2.6,1001.0,4.0,7.2,東京,曇り
2023-05-22,2023,5,22,月,20.5,28.3,16.0,67.0,1.6,1014.5,1.5,5.3,東京,曇り
2023-05-23,2023,5,23,火,17.3,21.3,16.2,76.0,0.0,1014.8,0.8,7.7,東京,雨
2023-05-24,2023,5,24,水,14.3,18.9,10.0,77.0,0.0,1012.6,12.5,6.4,東京,曇り
2023-05-25,2023,5,25,木,9.4,17.8,6.3,62.0,0.0,1012.6,7.3,8.7,東京,雨
2023-05-26,2023,5,26,金,18.5,25.3,12.8,80.0,0.0,1006.7,1.7,9.9,東京,晴れ
2023-05-27,2023,5,27,土,14.3,18.0,9.8,76.0,8.3,1007.3,1.3,7.9,東京,曇り
2023-05-28,2023,5,28,日,15.9,22.6,13.7,47.0,0.4,1007.0,4.9,8.1,東京,雨
2023-05-29,2023,5,29,月,21.3,28.6,16.7,47.0,0.0,1006.7,1.3,7.7,東京,晴れ
2023-05-30,2023,5,30,火,22.5,29.3,15.4,71.0,10.5,1008.6,3.1,7.1,東京,曇り
2023-05-31,2023,5,31,水,18.5,23.0,14.9,72.0,0.0,1004.9,2.0,5.8,東京,晴れ
2023-06-01,2023,6,1,木,26.7,31.5,21.4,68.0,0.0,1000.2,3.4,5.3,東京,晴れ
2023-06-02,2023,6,2,金,28.5,38.8,24.2,76.0,0.0,1016.5,3.3,6.7,東京,曇り
2023-06-03,2023,6,3,土,24.8,29.8,23.1,74.0,0.0,997.3,3.3,5.5,東京,雨
2023-06-04,2023,6,4,日,28.8,36.9,26.8,68.0,0.0,1009.8,0.8,5.3,東京,晴れ
2023-06-05,2023,6,5,月,22.3,25.5,19.4,100.0,2.6,1004.8,7.6,10.1,東京,雨
2023-06-06,2023,6,6,火,27.4,28.7,25.5,84.0,7.1,1011.3,1.5,9.2,東京,晴れ
2023-06-07,2023,6,7,水,31.6,37.7,27.0,69.0,12.3,1019.6,5.3,6.6,東京,雨
2023-06-08,2023,6,8,木,29.1,32.0,25.7,75.0,14.8,1002.6,0.4,4.7,東京,晴れ
2023-06-09,2023,6,9,金,26.1,30.5,21.7,73.0,0.0,1013.1,0.3,10.6,東京,曇り
2023-06-10,2023,6,10,土,30.2,38.1,26.5,87.0,17.1,1007.3,2.3,8.7,東京,雨
2023-06-11,2023,6,11,日,28.9,34.0,25.6,67.0,0.0,1006.1,1.5,11.0,東京,曇り
2023-06-12,2023,6,12,月,29.8,34.3,26.5,63.0,7.8,1006.6,3.7,9.0,東京,晴れ
2023-06-13,2023,6,13,火,27.3,37.1,25.0,70.0,0.0,1007.0,4.4,7.6,東京,晴れ
2023-06-14,2023,6,14,水,28.3,36.6,25.7,76.0,12.1,997.1,2.3,8.9,東京,曇り
2023-06-15,2023,6,15,木,32.9,39.7,30.0,84.0,0.4,1021.6,0.1,4.8,東京,雨
2023-06-16,2023,6,16,金,28.3,33.1,23.9,81.0,0.0,1013.4,1.5,10.0,東京,曇り
2023-06-17,2023,6,17,土,22.7,26.6,20.8,64.0,1.0,1001.1,1.8,7.2,東京,雨
2023-06-18,2023,6,18,日,28.8,33.6,25.7,73.0,27.2,1018.9,0.2,6.4,東京,曇り
2023-06-19,2023,6,19,月,29.0,31.8,25.4,78.0,0.0,1002.8,3.2,7.2,東京,晴れ
2023-06-20,2023,6,20,火,25.4,31.8,19.9,84.0,10.9,1012.3,3.7,8.4,東京,曇り
2023-06-21,2023,6,21,水,24.8,30.4,24.2,81.0,33.9,1016.2,1.2,6.9,東京,晴れ
2023-06-22,2023,6,22,木,24.4,26.9,22.8,63.0,0.0,1011.9,1.0,7.3,東京,雨
2023-06-23,2023,6,23,金,25.7,28.5,23.3,61.0,0.0,1003.0,0.1,7.8,東京,晴れ
2023-06-24,2023,6,24,土,24.5,24.0,21.3,88.0,0.0,1001.6,3.9,7.9,東京,曇り
2023-06-25,2023,6,25,日,24.2,30.1,22.4,98.0,11.1,1026.9,10.1,10.2,東京,雨
2023-06-26,2023,6,26,月,30.8,38.9,26.7,70.0,12.0,1006.8,0.4,7.1,東京,曇り
2023-06-27,2023,6,27,火,23.4,26.6,20.8,76.0,4.2,1016.1,5.8,11.6,東京,晴れ
2023-06-28,2023,6,28,水,27.0,33.3,23.2,75.0,4.0,1022.2,3.6,9.3,東京,雨
2023-06-29,2023,6,29,木,30.2,35.7,28.7,79.0,0.0,1020.5,0.8,10.6,東京,晴れ
2023-06-30,2023,6,30,金,26.5,28.9,22.7,80.0,0.0,1014.6,6.0,9.6,東京,晴れ
2023-07-01,2023,7,1,土,30.5,35.0,26.7,69.0,4.5,1016.7,0.4,4.2,東京,晴れ
2023-07-02,2023,7,2,日,27.3,30.7,26.5,85.0,0.0,1007.0,4.2,1.9,東京,曇り
2023-07-03,2023,7,3,月,29.4,30.9,25.1,93.0,0.0,1003.0,1.8,10.2,東京,曇り
2023-07-04,2023,7,4,火,25.8,33.9,21.4,62.0,0.1,1002.6,1.4,7.8,東京,晴れ
2023-07-05,2023,7,5,水,25.0,32.2,20.6,92.0,0.8,1009.4,0.3,8.4,東京,晴れ
2023-07-06,2023,7,6,木,29.3,33.3,27.3,99.0,0.0,1017.8,5.6,5.2,東京,雨
2023-07-07,2023,7,7,金,27.8,31.7,25.6,55.0,15.6,1009.6,0.2,7.0,東京,雨
2023-07-08,2023,7,8,土,24.1,28.1,19.9,84.0,0.0,1012.8,4.6,8.0,東京,曇り
2023-07-09,2023,7,9,日,28.1,33.4,24.7,82.0,6.5,1013.9,0.3,9.2,東京,雨
2023-07-10,2023,7,10,月,26.4,33.4,25.1,64.0,0.0,1030.8,3.3,10.7,東京,晴れ
2023-07-11,2023,7,11,火,31.8,35.9,28.9,67.0,0.0,1014.2,0.5,7.8,東京,曇り
2023-07-12,2023,7,12,水,32.4,35.6,29.2,68.0,26.0,1010.5,14.8,10.2,東京,晴れ
2023-07-13,2023,7,13,木,26.0,33.9,24.3,71.0,0.0,1014.7,0.8,6.5,東京,雨
2023-07-14,2023,7,14,金,31.3,37.6,29.1,84.0,4.6,1014.2,3.9,9.6,東京,雨
2023-07-15,2023,7,15,土,27.2,34.0,23.0,77.0,0.0,1019.7,2.9,11.2,東京,晴れ
2023-07-16,2023,7,16,日,28.1,35.3,25.8,64.0,0.0,1002.3,0.6,11.3,東京,曇り
2023-07-17,2023,7,17,月,26.6,28.9,22.9,100.0,0.0,1016.0,1.4,6.8,東京,雨
2023-07-18,2023,7,18,火,32.4,36.4,28.4,100.0,13.0,1005.0,10.0,8.9,東京,曇り
2023-07-19,2023,7,19,水,30.6,35.8,28.2,78.0,0.0,1018.7,10.6,10.0,東京,晴れ
2023-07-20,2023,7,20,木,28.0,29.7,26.5,87.0,0.0,1012.0,9.5,9.0,東京,晴れ
2023-07-21,2023,7,21,金,26.9,34.4,23.7,66.0,18.9,1018.8,1.7,7.1,東京,曇り
2023-07-22,2023,7,22,土,26.2,31.7,23.6,42.0,0.0,1013.4,3.1,7.2,東京,晴れ
2023-07-23,2023,7,23,日,26.7,28.0,23.9,55.0,0.0,1010.2,2.9,10.1,東京,晴れ
2023-07-24,2023,7,24,月,28.3,33.4,24.4,50.0,0.0,1002.1,0.5,11.7,東京,曇り
2023-07-25,2023,7,25,火,30.1,32.9,26.0,72.0,5.4,1004.7,2.7,8.3,東京,晴れ
2023-07-26,2023,7,26,水,25.4,29.6,21.8,72.0,19.1,1022.8,2.2,3.9,東京,雨
2023-07-27,2023,7,27,木,25.0,31.9,21.4,78.0,0.0,1023.9,1.3,5.8,東京,雨
2023-07-28,2023,7,28,金,28.6,35.6,27.4,70.0,6.8,1016.1,3.8,11.5,東京,晴れ
2023-07-29,2023,7,29,土,28.6,31.0,26.0,80.0,0.0,1021.7,0.5,9.7,東京,雨
2023-07-30,2023,7,30,日,27.1,30.3,25.6,71.0,1.8,1009.1,6.6,7.8,東京,晴れ
2023-07-31,2023,7,31,月,26.6,25.5,23.2,77.0,21.5,1021.7,0.4,7.7,東京,曇り
2023-08-01,2023,8,1,火,30.4,38.0,25.5,67.0,9.1,997.9,4.5,9.1,東京,晴れ
2023-08-02,2023,8,2,水,26.7,29.1,23.5,89.0,0.0,1024.9,1.2,8.2,東京,雨
2023-08-03,2023,8,3,木,30.7,31.6,27.0,81.0,0.7,1014.7,4.9,3.8,東京,晴れ
2023-08-04,2023,8,4,金,24.7,26.9,22.7,94.0,0.0,1017.3,2.7,6.6,東京,晴れ
2023-08-05,2023,8,5,土,26.0,34.2,21.9,94.0,18.3,1021.5,1.8,9.4,東京,晴れ
2023-08-06,2023,8,6,日,29.0,33.4,26.0,86.0,13.1,1018.4,0.1,9.1,東京,晴れ
2023-08-07,2023,8,7,月,24.0,28.2,20.9,96.0,0.0,1016.5,2.6,5.8,東京,晴れ
2023-08-08,2023,8,8,火,34.7,40.7,30.8,88.0,7.4,1019.3,1.5,11.2,東京,雨
2023-08-09,2023,8,9,水,28.5,33.5,24.1,80.0,0.0,1014.2,7.3,6.5,東京,曇り
2023-08-10,2023,8,10,木,24.7,27.5,20.4,100.0,0.0,995.7,2.2,8.9,東京,雨
2023-08-11,2023,8,11,金,21.1,27.0,16.9,64.0,3.2,1014.5,3.0,7.4,東京,曇り
2023-08-12,2023,8,12,土,25.4,33.2,24.0,64.0,0.0,1017.4,9.9,8.6,東京,雨
2023-08-13,2023,8,13,日,25.6,25.5,22.4,83.0,0.0,1011.7,1.3,7.6,東京,晴れ
2023-08-14,2023,8,14,月,26.7,32.0,24.5,77.0,2.8,1017.7,9.4,8.5,東京,曇り
2023-08-15,2023,8,15,火,23.4,26.1,20.7,73.0,0.0,1009.3,4.9,9.3,東京,雨
2023-08-16,2023,8,16,水,30.8,33.7,28.1,72.0,0.0,1004.2,2.0,7.6,東京,雨
2023-08-17,2023,8,17,木,29.8,36.5,25.9,88.0,25.9,1008.7,2.4,9.6,東京,曇り
2023-08-18,2023,8,18,金,25.8,29.7,22.7,87.0,8.2,1019.1,4.1,9.9,東京,晴れ
2023-08-19,2023,8,19,土,27.4,33.3,23.9,79.0,0.0,1020.7,0.8,8.3,東京,晴れ
2023-08-20,2023,8,20,日,31.1,36.1,26.9,96.0,3.8,1020.4,4.0,9.6,東京,雪
2023-08-21,2023,8,21,月,32.1,35.4,29.5,56.0,2.4,1015.1,1.0,9.0,東京,晴れ
2023-08-22,2023,8,22,火,29.5,31.6,26.5,95.0,2.9,1022.9,0.8,5.2,東京,晴れ
2023-08-23,2023,8,23,水,29.1,30.9,24.8,75.0,0.0,1005.6,0.2,8.9,東京,曇り
2023-08-24,2023,8,24,木,26.4,30.2,23.3,72.0,0.8,1020.1,4.1,5.7,東京,晴れ
2023-08-25,2023,8,25,金,25.2,32.8,21.1,93.0,0.0,1002.9,10.5,8.1,東京,晴れ
2023-08-26,2023,8,26,土,23.0,27.3,19.8,60.0,4.7,1014.7,0.0,7.2,東京,曇り
2023-08-27,2023,8,27,日,23.9,32.8,20.6,69.0,1.4,1010.1,1.2,8.1,東京,雨
2023-08-28,2023,8,28,月,27.5,34.1,25.2,65.0,0.0,1003.3,4.6,7.3,東京,晴れ
2023-08-29,2023,8,29,火,25.7,30.3,23.8,89.0,3.6,1013.4,0.5,10.1,東京,雨
2023-08-30,2023,8,30,水,25.8,28.1,20.9,98.0,18.1,1015.3,3.8,8.0,東京,雪
2023-08-31,2023,8,31,木,23.6,28.3,19.7,86.0,0.0,1013.8,5.8,4.2,東京,雨
2023-09-01,2023,9,1,金,15.0,20.3,11.1,81.0,0.0,1016.5,5.5,8.4,東京,曇り
2023-09-02,2023,9,2,土,18.2,22.9,16.9,45.0,0.0,1030.0,3.9,6.8,東京,雨
2023-09-03,2023,9,3,日,22.2,28.4,17.0,35.0,0.0,998.4,0.6,6.6,東京,晴れ
2023-09-04,2023,9,4,月,13.8,18.5,10.9,64.0,17.1,1017.4,3.1,7.4,東京,雨
