売上ID,日付,商品コード,数量,顧客ID
S00108,2025-06-30,P006,5,C0001
S00109,2025-04-19,P002,4,C0163
S00110,2025-02-04,P006,1,C0137
S00111,2024-12-30,P007,2,C0110
S00112,2024-08-24,P004,4,C0069
S00113,2024-08-25,P006,3,C0087
S00114,2024-11-16,P009,5,C0034
S00115,2024-10-20,P010,4,C0088
S00116,2024-08-07,P001,1,C0026
S00117,2024-07-31,P008,1,C0032
S00118,2025-05-11,P003,4,C0117
S00119,2025-07-08,P001,4,C0052
S00120,2024-11-12,P003,3,C0041
S00121,2024-12-31,P005,1,C0168
S00122,2025-07-09,P006,3,C0022
S00123,2024-11-14,P006,2,C0014
S00124,2024-08-16,P007,3,C0186
S00125,2025-05-19,P004,4,C0168
S00126,2024-11-17,P002,1,C0001
S00127,2024-12-04,P004,4,C0020
S00128,2024-08-11,P003,5,C0058
S00129,2025-01-27,P009,4,C0003
S00130,2024-08-27,P001,3,C0031
S00131,2025-05-23,P007,2,C0123
S00132,2024-12-21,P002,2,C0099
S00133,2025-07-15,P002,1,C0027
S00134,2024-10-23,P006,3,C0077
S00135,2024-11-30,P003,4,C0199
S00136,2025-06-06,P003,2,C0018
S00137,2024-08-01,P009,5,C0003
S00138,2024-10-21,P010,2,C0113
S00139,2024-10-18,P006,2,C0161
S00140,2025-06-30,P003,4,C0158
S00141,2024-11-11,P008,2,C0023
S00142,2025-07-21,P002,2,C0193
S00143,2024-10-11,P002,5,C0187
S00144,2024-10-09,P007,3,C0110
S00145,2025-03-06,P006,2,C0064
S00146,2024-10-29,P005,1,C0064
S00147,2024-09-20,P009,5,C0154
S00148,2024-10-26,P010,3,C0200
S00149,2024-09-30,P001,3,C0053
S00150,2025-06-07,P009,5,C0131
S00151,2024-12-20,P004,4,C0076
S00152,2024-10-26,P001,2,C0127
S00153,2024-09-03,P007,1,C0062
S00154,2024-12-14,P008,5,C0019
S00155,2024-08-18,P009,1,C0093
S00156,2025-07-15,P006,2,C0100
S00157,2025-03-09,P010,4,C0094
S00158,2025-07-08,P009,2,C0196
S00159,2025-05-16,P008,1,C0005
S00160,2025-01-23,P010,1,C0004
S00161,2024-09-16,P005,2,C0011
S00162,2025-02-22,P001,4,C0130
S00163,2025-05-09,P005,5,C0197
S00164,2025-04-23,P007,4,C0180
S00165,2024-09-09,P007,1,C0164
S00166,2025-06-05,P009,5,C0158
S00167,2025-02-14,P003,3,C0022
S00168,2025-03-09,P005,1,C0131
S00169,2025-03-04,P004,2,C0138
S00170,2025-07-04,P006,4,C0151
S00171,2025-07-11,P002,3,C0179
S00172,2024-07-30,P007,2,C0015
S00173,2024-11-14,P004,1,C0112
S00174,2024-09-11,P002,4,C0157
S00175,2024-09-05,P010,1,C0080
S00176,2025-05-04,P003,1,C0004
S00177,2024-11-06,P003,1,C0042
S00178,2024-07-25,P008,3,C0134
S00179,2025-07-02,P009,3,C0043
S00180,2025-02-07,P006,2,C0192
S00181,2024-12-29,P005,1,C0198
S00182,2025-02-16,P001,3,C0110
S00183,2024-10-31,P005,5,C0017
S00184,2024-11-04,P005,5,C0161
S00185,2025-07-18,P002,4,C0117
S00186,2025-05-20,P009,3,C0015
S00187,2025-07-21,P008,5,C0043
S00188,2024-11-17,P006,2,C0066
S00189,2025-06-29,P002,5,C0173
S00190,2025-05-16,P002,2,C0190
S00191,2025-03-20,P009,1,C0012
S00192,2024-11-08,P001,2,C0012
S00193,2024-12-30,P008,3,C0099
S00194,2025-03-07,P003,2,C0010
S00195,2025-07-14,P009,4,C0058
S00196,2025-03-03,P006,2,C0107
S00197,2025-04-16,P006,3,C0020
S00198,2025-01-05,P010,3,C0031
S00199,2024-11-19,P009,1,C0046
S00200,2025-03-14,P004,5,C0012
S00201,2024-09-17,P007,1,C0120
S00202,2025-01-10,P005,3,C0084
S00203,2024-09-14,P002,5,C0117
S00204,2024-12-01,P001,3,C0052
S00205,2024-11-01,P005,5,C0078
S00206,2025-05-26,P010,2,C0119
S00207,2024-10-22,P006,5,C0127
S00208,2024-10-15,P004,5,C0195
S00209,2024-10-04,P004,2,C0002
S00210,2025-02-19,P007,1,C0060
S00211,2025-06-01,P009,3,C0163
S00212,2025-04-03,P001,3,C0001
S00213,2024-11-19,P007,3,C0027
S00214,2024-10-18,P004,5,C0061
S00215,2024-10-03,P007,4,C0016
S00216,2024-10-25,P003,3,C0024
S00217,2025-07-19,P001,2,C0134
S00218,2024-08-01,P007,3,C0118
S00219,2025-04-14,P002,5,C0025
S00220,2024-12-04,P009,2,C0164
S00221,2024-08-28,P007,1,C0152
S00222,2025-06-22,P010,1,C0112
S00223,2025-07-04,P003,2,C0075
S00224,2025-03-02,P005,3,C0101
S00225,2025-06-21,P006,3,C0116
S00226,2025-03-17,P005,2,C0020
S00227,2024-12-28,P004,2,C0200
S00228,2024-08-20,P010,1,C0040
S00229,2024-11-03,P002,2,C0116
S00230,2025-05-09,P008,3,C0105
S00231,2025-04-29,P002,5,C0092
S00232,2024-12-10,P004,4,C0079
S00233,2025-04-05,P008,3,C0031
S00234,2025-05-28,P002,2,C0176
S00235,2024-07-27,P005,5,C0011
S00236,2025-05-07,P004,3,C0038
S00237,2025-02-09,P002,2,C0092
S00238,2024-09-16,P007,5,C0013
S00239,2025-01-30,P005,3,C0045
S00240,2024-09-25,P001,4,C0116
S00241,2025-03-01,P009,5,C0064
S00242,2025-05-24,P002,4,C0027
S00243,2024-08-08,P003,1,C0004
S00244,2025-02-03,P001,2,C0034
S00245,2024-09-28,P004,4,C0096
S00246,2025-04-12,P002,5,C0151
S00247,2025-06-10,P005,1,C0006
S00248,2025-06-12,P002,2,C0166
S00249,2025-06-06,P008,2,C0024
S00250,2025-04-06,P006,1,C0011
S00251,2025-05-06,P008,1,C0044
S00252,2024-12-10,P010,4,C0186
S00253,2025-05-25,P007,4,C0008
S00254,2024-08-06,P007,4,C0045
S00255,2024-07-28,P006,2,C0048
S00256,2024-09-11,P005,3,C0115
S00257,2025-04-24,P003,1,C0158
S00258,2025-06-28,P010,5,C0063
S00259,2025-06-15,P005,4,C0106
S00260,2025-04-24,P009,4,C0016
S00261,2025-06-17,P002,3,C0099
S00262,2024-12-25,P003,4,C0052
S00263,2024-08-17,P009,2,C0162
S00264,2024-09-16,P009,1,C0098
S00265,2025-06-11,P006,4,C0140
S00266,2024-09-10,P008,3,C0145
S00267,2024-09-15,P009,3,C0100
S00268,2024-09-04,P005,2,C0007
S00269,2025-06-25,P006,5,C0057
S00270,2025-06-09,P001,3,C0015
S00271,2025-02-08,P008,5,C0092
S00272,2024-08-13,P010,2,C0041
S00273,2024-10-03,P002,2,C0169
S00274,2025-01-23,P004,3,C0137
S00275,2024-12-03,P001,2,C0148
S00276,2024-10-28,P007,3,C0045
S00277,2025-07-13,P003,2,C0152
S00278,2025-03-28,P006,3,C0152
S00279,2025-04-13,P001,3,C0146
S00280,2024-08-25,P010,2,C0145
S00281,2024-11-14,P004,4,C0139
S00282,2024-10-04,P005,2,C0126
S00283,2024-08-17,P001,1,C0015
S00284,2025-05-06,P004,5,C0057
S00285,2024-12-06,P001,5,C0123
S00286,2025-02-07,P001,3,C0158
S00287,2024-10-05,P004,2,C0088
S00288,2024-12-26,P003,3,C0016
S00289,2024-08-30,P001,2,C0151
S00290,2025-04-15,P003,1,C0135
S00291,2024-09-02,P006,1,C0096
S00292,2024-09-03,P007,5,C0026
S00293,2025-07-01,P006,3,C0083
S00294,2024-10-15,P003,2,C0188
S00295,2024-09-13,P007,4,C0167
S00296,2024-07-26,P006,2,C0182
S00297,2024-10-05,P009,5,C0092
S00298,2024-12-07,P004,5,C0045
S00299,2025-04-03,P007,3,C0188
S00300,2025-01-08,P005,2,C0046
