年月,地域,店舗名,売上金額,粗利益,顧客数,販売数量
2023-04,九州,熊本店,280401,102516,722,1579
2023-04,九州,福岡店,108058,41201,433,675
2023-04,九州,長崎店,169785,63405,570,1011
2023-04,九州,鹿児島店,259821,95111,700,1477
2023-04,北海道,函館店,229039,84826,662,1323
2023-04,北海道,旭川店,111243,41956,456,684
2023-04,北海道,札幌店,150396,56128,513,904
2023-04,四国,松山店,236839,86786,670,1354
2023-04,四国,高松店,301131,110650,750,1714
2023-04,東北,仙台店,206892,76179,629,1195
2023-04,東北,盛岡店,173380,64737,576,1012
2023-04,東北,秋田店,151389,56245,529,890
2023-04,東北,青森店,193716,71714,601,1129
2023-04,関東,千葉店,297297,109776,763,1697
2023-04,関東,大宮店,471610,170914,1032,2535
2023-04,関東,川崎店,281041,103032,731,1580
2023-04,関東,東京都心店,893918,319810,1760,4615
2023-04,関東,横浜店,527293,189336,1098,2752
2023-04,関東,立川店,275740,101085,715,1573
2023-04,関西,京都店,269499,98572,716,1516
2023-04,関西,大阪梅田店,873653,312225,1669,4521
2023-04,関西,奈良店,366126,133153,852,2029
2023-04,関西,神戸店,535887,193051,1112,2858
2023-05,中国,岡山店,308217,113238,784,1752
2023-05,中国,広島店,360473,132348,848,2018
2023-05,中国,鳥取店,213903,79150,635,1270
2023-05,中部,名古屋店,342950,125630,836,1913
2023-05,中部,新潟店,392508,141982,890,2143
2023-05,中部,金沢店,540036,195100,1112,2939
2023-05,中部,静岡店,401013,145145,923,2199
2023-05,九州,熊本店,306602,112741,791,1734
2023-05,九州,福岡店,125193,47124,485,768
2023-05,九州,長崎店,178410,66390,575,1067
2023-05,九州,鹿児島店,268737,98568,737,1521
2023-05,北海道,函館店,252172,93464,699,1442
2023-05,北海道,旭川店,125001,46753,477,759
2023-05,北海道,札幌店,172323,64403,570,1007
2023-05,四国,松山店,252372,92562,724,1428
2023-05,四国,高松店,326424,119700,795,1818
2023-05,東北,仙台店,232966,85795,685,1331
2023-05,東北,盛岡店,174949,64287,585,1015
2023-05,東北,秋田店,167224,62464,570,987
2023-05,東北,青森店,219867,81271,656,1286
2023-05,関東,千葉店,329786,120878,813,1861
2023-05,関東,大宮店,505333,183251,1075,2738
2023-05,関東,川崎店,297770,109404,759,1702
2023-05,関東,東京都心店,930967,332411,1816,4797
2023-05,関東,横浜店,548808,197584,1170,2965
2023-05,関東,立川店,303891,111269,799,1721
2023-05,関西,京都店,300532,110230,774,1708
2023-05,関西,大阪梅田店,891017,316834,1732,4577
2023-05,関西,奈良店,387586,140827,887,2129
2023-05,関西,神戸店,575075,206977,1185,3050
2023-06,中国,岡山店,278087,101669,721,1559
2023-06,中国,広島店,337904,123770,808,1882
2023-06,中国,鳥取店,183923,68498,587,1090
2023-06,中部,名古屋店,300434,110392,762,1695
2023-06,中部,新潟店,352442,128362,836,1974
2023-06,中部,金沢店,495141,179299,1017,2669
2023-06,中部,静岡店,352439,128532,832,1944
2023-06,九州,熊本店,274201,100451,708,1557
2023-06,九州,福岡店,106257,39785,427,642
2023-06,九州,長崎店,169747,63322,560,1005
2023-06,九州,鹿児島店,253508,93038,713,1449
2023-06,北海道,函館店,219477,80849,637,1261
2023-06,北海道,旭川店,105549,39860,434,653
2023-06,北海道,札幌店,147861,55062,519,883
2023-06,四国,松山店,231117,85172,663,1335
2023-06,四国,高松店,294674,108298,740,1680
2023-06,東北,仙台店,204895,75645,622,1186
2023-06,東北,盛岡店,164817,61520,556,962
2023-06,東北,秋田店,144363,53964,522,869
2023-06,東北,青森店,181865,67602,573,1080
2023-06,関東,千葉店,296115,108454,749,1678
2023-06,関東,大宮店,465488,169727,990,2538
2023-06,関東,川崎店,265332,97307,720,1517
2023-06,関東,東京都心店,851982,304000,1663,4411
2023-06,関東,横浜店,516142,186043,1101,2761
2023-06,関東,立川店,270307,99172,716,1541
2023-06,関西,京都店,261247,96330,706,1490
2023-06,関西,大阪梅田店,860098,306663,1657,4444
2023-06,関西,奈良店,348881,127531,835,1951
2023-06,関西,神戸店,534315,192503,1111,2866
2023-07,中国,岡山店,352188,128586,854,1981
2023-07,中国,広島店,412184,149076,924,2253
2023-07,中国,鳥取店,246819,90865,703,1416
2023-07,中部,名古屋店,357579,130686,849,1989
2023-07,中部,新潟店,448038,162745,980,2444
2023-07,中部,金沢店,605245,217044,1224,3189
2023-07,中部,静岡店,451231,162919,973,2452
2023-07,九州,熊本店,339662,124545,814,1915
2023-07,九州,福岡店,141688,53171,515,859
2023-07,九州,長崎店,208866,77385,632,1228
2023-07,九州,鹿児島店,320340,117041,791,1800
2023-07,北海道,函館店,264970,98206,720,1512
2023-07,北海道,旭川店,144494,54111,513,874
2023-07,北海道,札幌店,193006,71881,624,1132
2023-07,四国,松山店,263896,97299,739,1515
2023-07,四国,高松店,350554,128456,851,1979
2023-07,東北,仙台店,257229,95222,706,1468
2023-07,東北,盛岡店,196700,73237,617,1158
2023-07,東北,秋田店,181931,67587,591,1062
2023-07,東北,青森店,246741,90818,681,1421
2023-07,関東,千葉店,367422,133651,876,2059
2023-07,関東,大宮店,564655,203157,1177,3009
2023-07,関東,川崎店,347457,126871,849,1945
2023-07,関東,東京都心店,1031314,366522,1964,5271
2023-07,関東,横浜店,629427,226965,1292,3369
2023-07,関東,立川店,339311,124324,817,1920
2023-07,関西,京都店,332444,122628,816,1887
2023-07,関西,大阪梅田店,969776,346564,1848,4976
2023-07,関西,奈良店,429049,155936,949,2339
2023-07,関西,神戸店,647199,231936,1311,3398
2023-08,中国,岡山店,351217,128130,841,1959
2023-08,中国,広島店,421455,152707,956,2321
2023-08,中国,鳥取店,250891,91816,702,1432
2023-08,中部,名古屋店,391451,142065,892,2162
2023-08,中部,新潟店,472168,170741,1021,2525
2023-08,中部,金沢店,631939,226974,1272,3333
2023-08,中部,静岡店,463890,167785,997,2501
2023-08,九州,熊本店,357189,131060,863,1999
2023-08,九州,福岡店,146067,54779,525,881
2023-08,九州,長崎店,214896,79477,636,1252
2023-08,九州,鹿児島店,304100,111740,784,1731
2023-08,北海道,函館店,275739,100662,723,1545
2023-08,北海道,旭川店,149238,55851,521,905
2023-08,北海道,札幌店,182604,68237,570,1096
2023-08,四国,松山店,268002,98749,729,1551
2023-08,四国,高松店,360852,132472,864,2030
2023-08,東北,仙台店,267263,98245,723,1499
2023-08,東北,盛岡店,202741,75586,611,1203
2023-08,東北,秋田店,179819,67009,590,1077
2023-08,東北,青森店,249026,91235,702,1418
2023-08,関東,千葉店,388981,140752,882,2121
2023-08,関東,大宮店,566008,204115,1185,3033
2023-08,関東,川崎店,356249,129381,852,1967
2023-08,関東,東京都心店,1046399,372959,2022,5362
2023-08,関東,横浜店,664770,237701,1351,3479
2023-08,関東,立川店,343973,125735,835,1915
2023-08,関西,京都店,352520,129119,844,1952
2023-08,関西,大阪梅田店,1015711,361304,1970,5202
2023-08,関西,奈良店,457116,165412,985,2478
2023-08,関西,神戸店,678282,242534,1338,3506
2023-09,中国,岡山店,283223,103518,730,1601
2023-09,中国,広島店,345097,125681,824,1918
2023-09,中国,鳥取店,188539,70326,583,1125
2023-09,中部,名古屋店,309788,113679,780,1745
2023-09,中部,新潟店,363767,133176,858,2040
2023-09,中部,金沢店,500471,180688,1048,2685
2023-09,中部,静岡店,361589,131827,828,2008
2023-09,九州,熊本店,288405,105371,741,1613
2023-09,九州,福岡店,108489,41092,434,672
2023-09,九州,長崎店,170233,63525,568,1008
2023-09,九州,鹿児島店,258318,94554,711,1459
2023-09,北海道,函館店,228008,84154,654,1320
2023-09,北海道,旭川店,119740,45081,462,720
2023-09,北海道,札幌店,145661,54780,487,882
2023-09,四国,松山店,231468,84810,660,1319
2023-09,四国,高松店,296349,108424,747,1690
2023-09,東北,仙台店,200589,74056,609,1159
2023-09,東北,盛岡店,171640,64176,563,1001
2023-09,東北,秋田店,146848,54790,501,886
2023-09,東北,青森店,190476,71030,587,1124
2023-09,関東,千葉店,291867,107151,742,1648
2023-09,関東,大宮店,470096,170241,991,2513
2023-09,関東,川崎店,275303,101215,727,1573
2023-09,関東,東京都心店,879597,314833,1673,4567
2023-09,関東,横浜店,538733,194019,1097,2849
2023-09,関東,立川店,272179,99590,725,1540
2023-09,関西,京都店,282370,103547,736,1586
2023-09,関西,大阪梅田店,853031,304970,1693,4457
2023-09,関西,奈良店,355811,129860,842,1987
2023-09,関西,神戸店,560601,201248,1156,2977
2023-10,中国,岡山店,306645,112730,801,1719
2023-10,中国,広島店,367317,133896,865,2055
2023-10,中国,鳥取店,218892,80775,651,1293
2023-10,中部,名古屋店,342617,125462,822,1922
2023-10,中部,新潟店,402715,145958,933,2201
2023-10,中部,金沢店,555434,200478,1155,2961
2023-10,中部,静岡店,395566,143565,910,2175
2023-10,九州,熊本店,310849,114273,789,1760
2023-10,九州,福岡店,124010,46610,475,769
2023-10,九州,長崎店,194332,71553,609,1128
2023-10,九州,鹿児島店,264951,97589,720,1523
2023-10,北海道,函館店,244667,90751,692,1409
2023-10,北海道,旭川店,128908,48373,482,781
2023-10,北海道,札幌店,170997,64275,573,1018
2023-10,四国,松山店,241107,89572,695,1395
2023-10,四国,高松店,330581,121241,812,1857
2023-10,東北,仙台店,232274,85525,685,1356
2023-10,東北,盛岡店,177673,66387,581,1044
2023-10,東北,秋田店,169217,63683,568,995
2023-10,東北,青森店,228669,84286,665,1313
2023-10,関東,千葉店,338666,124444,841,1888
2023-10,関東,大宮店,510399,184575,1060,2731
2023-10,関東,川崎店,301275,111139,767,1701
2023-10,関東,東京都心店,953108,340169,1810,4871
2023-10,関東,横浜店,560591,202447,1170,3018
2023-10,関東,立川店,304106,111804,769,1726
2023-10,関西,京都店,313247,115045,798,1766
2023-10,関西,大阪梅田店,929013,332168,1809,4796
2023-10,関西,奈良店,389674,141371,894,2158
2023-10,関西,神戸店,573305,206034,1174,3046
2023-11,中国,岡山店,322321,118106,774,1828
2023-11,中国,広島店,386449,140063,887,2130
2023-11,中国,鳥取店,232391,85377,658,1330
2023-11,中部,名古屋店,354261,129163,835,1967
2023-11,中部,新潟店,423158,153338,940,2324
2023-11,中部,金沢店,570135,204197,1161,3012
2023-11,中部,静岡店,422986,152586,935,2305
2023-11,九州,熊本店,325189,119550,789,1844
2023-11,九州,福岡店,128727,48620,472,807
2023-11,九州,長崎店,191072,70645,591,1108
2023-11,九州,鹿児島店,282628,103617,727,1596
2023-11,北海道,函館店,251428,92482,706,1435
2023-11,北海道,旭川店,130911,48790,486,807
2023-11,北海道,札幌店,180935,67199,579,1055
2023-11,四国,松山店,257794,94652,699,1453
2023-11,四国,高松店,336430,123178,801,1876
2023-11,東北,仙台店,241414,88672,682,1379
2023-11,東北,盛岡店,179104,66717,571,1062
2023-11,東北,秋田店,164774,61677,550,974
2023-11,東北,青森店,230354,84739,670,1330
2023-11,関東,千葉店,341100,125026,820,1910
2023-11,関東,大宮店,532035,191759,1102,2853
2023-11,関東,川崎店,313485,114905,783,1780
2023-11,関東,東京都心店,975205,346117,1848,4974
2023-11,関東,横浜店,591362,213370,1210,3146
2023-11,関東,立川店,317735,117543,794,1799
2023-11,関西,京都店,309067,113891,761,1773
2023-11,関西,大阪梅田店,916887,327866,1778,4750
2023-11,関西,奈良店,404188,146786,892,2211
2023-11,関西,神戸店,618043,221144,1244,3216
2023-12,中国,岡山店,425880,153709,953,2313
2023-12,中国,広島店,506147,183240,1110,2735
2023-12,中国,鳥取店,294287,108087,767,1674
2023-12,中部,名古屋店,473964,170653,1045,2538
2023-12,中部,新潟店,533715,191786,1137,2864
2023-12,中部,金沢店,742690,265191,1459,3845
2023-12,中部,静岡店,533010,192092,1111,2838
2023-12,九州,熊本店,429411,156307,946,2371
2023-12,九州,福岡店,177061,66203,578,1055
2023-12,九州,長崎店,264669,97298,704,1521
2023-12,九州,鹿児島店,366605,133266,862,2035
2023-12,北海道,函館店,340340,124085,822,1895
2023-12,北海道,旭川店,197476,73137,606,1154
2023-12,北海道,札幌店,243004,89537,697,1398
2023-12,四国,松山店,346212,126593,825,1934
2023-12,四国,高松店,449430,162725,973,2459
2023-12,東北,仙台店,315791,115339,786,1773
2023-12,東北,盛岡店,258762,95700,719,1477
2023-12,東北,秋田店,235487,86487,680,1354
2023-12,東北,青森店,308379,113212,783,1747
2023-12,関東,千葉店,463498,166709,997,2501
2023-12,関東,大宮店,696535,248934,1382,3607
2023-12,関東,川崎店,413592,150404,950,2287
2023-12,関東,東京都心店,1224628,433531,2281,6178
2023-12,関東,横浜店,758257,271339,1488,3931
2023-12,関東,立川店,414037,149566,928,2259
2023-12,関西,京都店,412090,149226,924,2250
2023-12,関西,大阪梅田店,1176560,418428,2259,5987
2023-12,関西,奈良店,537369,193926,1118,2856
2023-12,関西,神戸店,777553,278169,1500,4019
2024-01,中国,岡山店,248290,91138,711,1404
2024-01,中国,広島店,274184,100403,735,1564
2024-01,中国,鳥取店,169727,63653,570,1003
2024-01,中部,名古屋店,263433,96851,737,1509
2024-01,中部,新潟店,308770,113216,796,1750
2024-01,中部,金沢店,430356,155699,969,2348
2024-01,中部,静岡店,315223,115674,788,1771
2024-01,九州,熊本店,248551,91528,699,1417
2024-01,九州,福岡店,81946,31632,380,530
2024-01,九州,長崎店,136084,51308,500,838
2024-01,九州,鹿児島店,197095,72773,615,1149
2024-01,北海道,函館店,180455,67412,579,1059
2024-01,北海道,旭川店,91436,35019,400,592
2024-01,北海道,札幌店,121327,45821,468,747
2024-01,四国,松山店,182444,67694,588,1065
2024-01,四国,高松店,259134,95045,720,1463
2024-01,東北,仙台店,170527,63595,574,1008
2024-01,東北,盛岡店,128762,48669,477,790
2024-01,東北,秋田店,126268,47134,481,768
2024-01,東北,青森店,167258,62291,568,986
2024-01,関東,千葉店,253358,93180,697,1461
2024-01,関東,大宮店,391474,142232,913,2159
2024-01,関東,川崎店,232176,85758,675,1354
2024-01,関東,東京都心店,748413,267006,1489,3892
2024-01,関東,横浜店,466821,168952,1013,2519
2024-01,関東,立川店,237768,87109,678,1368
2024-01,関西,京都店,236789,87350,685,1368
2024-01,関西,大阪梅田店,725591,259442,1443,3748
2024-01,関西,奈良店,298006,109692,779,1696
2024-01,関西,神戸店,453153,164842,993,2461
2024-02,中国,岡山店,205083,75620,607,1197
2024-02,中国,広島店,252202,92870,686,1419
2024-02,中国,鳥取店,136816,50246,493,811
2024-02,中部,名古屋店,230443,84871,652,1309
2024-02,中部,新潟店,261157,95328,696,1491
2024-02,中部,金沢店,377345,136732,871,2068
2024-02,中部,静岡店,267939,98284,706,1510
2024-02,九州,熊本店,212772,78547,617,1227
2024-02,九州,福岡店,69275,26854,336,446
2024-02,九州,長崎店,115124,43369,435,712
2024-02,九州,鹿児島店,175033,65134,563,1037
2024-02,北海道,函館店,158727,59201,542,939
2024-02,北海道,旭川店,74496,28527,348,479
2024-02,北海道,札幌店,99501,37484,418,613
2024-02,四国,松山店,156177,58626,536,938
2024-02,四国,高松店,223703,82305,643,1284
2024-02,東北,仙台店,143461,53770,499,867
2024-02,東北,盛岡店,108967,41190,427,659
2024-02,東北,秋田店,98549,37495,405,623
2024-02,東北,青森店,137999,51630,479,839
2024-02,関東,千葉店,225199,82474,641,1289
2024-02,関東,大宮店,342524,125024,802,1893
2024-02,関東,川崎店,189934,70565,602,1128
2024-02,関東,東京都心店,673970,241152,1296,3485
2024-02,関東,横浜店,390138,141187,872,2126
2024-02,関東,立川店,190035,70447,576,1138
2024-02,関西,京都店,198003,73488,579,1176
2024-02,関西,大阪梅田店,657604,235026,1289,3366
2024-02,関西,奈良店,252201,93139,694,1422
2024-02,関西,神戸店,398464,144279,889,2200
2024-03,中国,岡山店,283088,103417,745,1579
2024-03,中国,広島店,335095,122688,822,1870
2024-03,中国,鳥取店,179699,66896,585,1063
2024-03,中部,名古屋店,297988,109175,749,1693
2024-03,中部,新潟店,357389,130113,863,1992
2024-03,中部,金沢店,505465,182663,1066,2686
2024-03,中部,静岡店,350645,128505,838,1959
2024-03,九州,熊本店,272803,100562,743,1555
2024-03,九州,福岡店,105475,40409,442,666
2024-03,九州,長崎店,157567,58807,552,942
2024-03,九州,鹿児島店,239375,87624,689,1375
2024-03,北海道,函館店,203718,75708,624,1201
2024-03,北海道,旭川店,113005,43044,456,706
2024-03,北海道,札幌店,141142,52617,509,864
2024-03,四国,松山店,215392,79846,644,1255
2024-03,四国,高松店,283260,104215,735,1615
2024-03,東北,仙台店,197303,73427,620,1152
2024-03,東北,盛岡店,158348,59131,540,947
2024-03,東北,秋田店,144678,54462,512,889
2024-03,東北,青森店,195145,72209,612,1124
2024-03,関東,千葉店,297350,108660,764,1667
2024-03,関東,大宮店,446380,161626,974,2447
2024-03,関東,川崎店,276292,101146,730,1563
2024-03,関東,東京都心店,844746,302249,1661,4381
2024-03,関東,横浜店,534759,192710,1111,2837
2024-03,関東,立川店,275116,101071,750,1568
2024-03,関西,京都店,275687,101447,729,1565
2024-03,関西,大阪梅田店,826773,295985,1618,4295
2024-03,関西,奈良店,341573,125181,817,1931
2024-03,関西,神戸店,528596,191059,1093,2801
2024-04,中国,岡山店,275065,100756,699,1570
2024-04,中国,広島店,329249,120630,803,1842
2024-04,中国,鳥取店,176088,65786,567,1052
2024-04,中部,名古屋店,299814,110575,745,1681
2024-04,中部,新潟店,352810,129177,817,1957
2024-04,中部,金沢店,483776,175178,1015,2607
2024-04,中部,静岡店,354586,129402,846,1975
2024-04,九州,熊本店,275096,100592,725,1547
2024-04,九州,福岡店,104743,39679,436,649
2024-04,九州,長崎店,166147,61588,550,972
2024-04,九州,鹿児島店,252595,92298,682,1418
2024-04,北海道,函館店,219589,81060,646,1271
2024-04,北海道,旭川店,102618,38755,430,631
2024-04,北海道,札幌店,146928,55048,518,876
2024-04,四国,松山店,226279,83117,663,1299
2024-04,四国,高松店,289285,105758,738,1624
2024-04,東北,仙台店,194522,72150,592,1151
2024-04,東北,盛岡店,158922,59511,546,953
2024-04,東北,秋田店,138113,51609,499,834
2024-04,東北,青森店,180072,66909,570,1072
2024-04,関東,千葉店,293850,107786,760,1651
2024-04,関東,大宮店,462272,167333,981,2503
2024-04,関東,川崎店,262216,96256,701,1495
2024-04,関東,東京都心店,852297,304774,1641,4415
2024-04,関東,横浜店,509636,183450,1094,2726
2024-04,関東,立川店,269634,98664,733,1516
2024-04,関西,京都店,272087,99386,724,1545
2024-04,関西,大阪梅田店,826900,295868,1593,4296
2024-04,関西,奈良店,342459,124905,816,1915
2024-04,関西,神戸店,534134,192545,1125,2881
2024-05,中国,岡山店,309716,113501,789,1750
2024-05,中国,広島店,363610,132598,860,2023
2024-05,中国,鳥取店,219156,81014,639,1297
2024-05,中部,名古屋店,343400,125769,828,1931
2024-05,中部,新潟店,386721,140495,898,2142
2024-05,中部,金沢店,550754,198713,1131,2934
2024-05,中部,静岡店,396805,144193,924,2201
2024-05,九州,熊本店,301734,111458,784,1751
2024-05,九州,福岡店,118969,45163,466,740
2024-05,九州,長崎店,191286,71338,588,1124
2024-05,九州,鹿児島店,265215,97532,720,1514
2024-05,北海道,函館店,247256,91512,687,1411
2024-05,北海道,旭川店,128840,48357,485,784
2024-05,北海道,札幌店,166417,62422,556,991
2024-05,四国,松山店,246873,90822,704,1413
2024-05,四国,高松店,325328,119708,801,1819
2024-05,東北,仙台店,238785,87839,684,1375
2024-05,東北,盛岡店,179897,66576,584,1041
2024-05,東北,秋田店,168138,62898,563,1005
2024-05,東北,青森店,222137,82544,659,1297
2024-05,関東,千葉店,329796,121161,817,1862
2024-05,関東,大宮店,507816,183785,1086,2730
2024-05,関東,川崎店,309394,113391,766,1743
2024-05,関東,東京都心店,935966,333844,1793,4796
2024-05,関東,横浜店,557785,201665,1163,3008
2024-05,関東,立川店,309432,113581,791,1750
2024-05,関西,京都店,310539,113923,800,1758
2024-05,関西,大阪梅田店,919580,328256,1752,4729
2024-05,関西,奈良店,395517,143232,913,2179
2024-05,関西,神戸店,578675,208881,1184,3088
2024-06,中国,岡山店,287195,104328,736,1612
2024-06,中国,広島店,344456,126020,821,1922
2024-06,中国,鳥取店,190262,70807,592,1119
2024-06,中部,名古屋店,312996,114195,750,1754
2024-06,中部,新潟店,376791,137691,871,2071
2024-06,中部,金沢店,515420,186823,1083,2740
2024-06,中部,静岡店,354608,129930,842,1989
2024-06,九州,熊本店,279663,102391,743,1607
2024-06,九州,福岡店,109210,41305,447,669
2024-06,九州,長崎店,171381,64178,561,1021
2024-06,九州,鹿児島店,261460,95335,694,1467
2024-06,北海道,函館店,227682,83780,652,1294
2024-06,北海道,旭川店,115273,43540,459,704
2024-06,北海道,札幌店,146946,55358,510,889
2024-06,四国,松山店,240617,87953,677,1374
2024-06,四国,高松店,306024,112113,771,1719
2024-06,東北,仙台店,198053,73151,608,1162
2024-06,東北,盛岡店,172628,64400,575,1002
2024-06,東北,秋田店,148822,55811,520,893
2024-06,東北,青森店,196303,72509,602,1140
2024-06,関東,千葉店,299942,110457,741,1707
2024-06,関東,大宮店,467768,169514,999,2519
2024-06,関東,川崎店,272072,99971,723,1555
2024-06,関東,東京都心店,868535,311109,1659,4527
2024-06,関東,横浜店,524315,189613,1129,2824
2024-06,関東,立川店,272507,99538,738,1535
2024-06,関西,京都店,274411,100235,716,1555
2024-06,関西,大阪梅田店,845565,301870,1621,4379
2024-06,関西,奈良店,352840,128137,828,1953
2024-06,関西,神戸店,547255,197232,1137,2897
2024-07,中国,岡山店,334460,122421,821,1868
2024-07,中国,広島店,402245,145503,896,2206
2024-07,中国,鳥取店,237489,87700,683,1367
2024-07,中部,名古屋店,350324,128295,823,1982
2024-07,中部,新潟店,427485,154496,949,2323
2024-07,中部,金沢店,583688,209759,1195,3105
2024-07,中部,静岡店,428106,155063,962,2343
2024-07,九州,熊本店,333135,122123,833,1886
2024-07,九州,福岡店,132645,49775,507,806
2024-07,九州,長崎店,196621,73167,613,1153
2024-07,九州,鹿児島店,298826,110010,758,1689
2024-07,北海道,函館店,269284,98685,734,1513
2024-07,北海道,旭川店,131846,49351,491,808
2024-07,北海道,札幌店,182743,68468,587,1078
2024-07,四国,松山店,262796,96670,715,1486
2024-07,四国,高松店,340036,124863,832,1903
2024-07,東北,仙台店,249403,91712,708,1405
2024-07,東北,盛岡店,186344,69438,581,1104
2024-07,東北,秋田店,173591,64618,574,1020
2024-07,東北,青森店,239113,88103,689,1382
2024-07,関東,千葉店,351104,128556,858,1954
2024-07,関東,大宮店,536002,193440,1108,2876
2024-07,関東,川崎店,330141,121260,808,1873
2024-07,関東,東京都心店,997139,354378,1925,5129
2024-07,関東,横浜店,602543,216192,1227,3200
2024-07,関東,立川店,328902,120649,828,1842
2024-07,関西,京都店,329658,121409,810,1842
2024-07,関西,大阪梅田店,932751,333964,1793,4846
2024-07,関西,奈良店,416429,151375,924,2286
2024-07,関西,神戸店,629599,225826,1290,3291
2024-08,中国,岡山店,360166,131473,849,1985
2024-08,中国,広島店,432501,156131,955,2378
2024-08,中国,鳥取店,264706,96705,719,1507
2024-08,中部,名古屋店,404833,146416,928,2193
2024-08,中部,新潟店,492885,177899,1004,2617
2024-08,中部,金沢店,646738,232626,1316,3421
