カラット,カット,色,透明度,奥行き,テーブル,価格,長さ,幅,深さ,鑑定書,産地
1.53,Ideal,F,I1,55.7,65.1,9161,5.44,5.34,3.41,鈴木情報株式会社鑑定所,南アフリカ
2.31,Ideal,H,VS1,63.5,59.7,18079,5.74,5.46,2.64,藤原印刷合同会社鑑定所,カナダ
0.99,Very Good,J,VS2,61.5,62.3,3435,4.48,4.43,2.47,有限会社木村農林鑑定所,カナダ
1.85,Fair,G,SI2,55.8,57.2,7386,5.44,5.37,3.2,有限会社小林鉱業鑑定所,ボツワナ
0.79,Good,G,IF,63.9,63.2,1789,4.31,4.18,2.17,岡本鉱業有限会社鑑定所,ボツワナ
0.69,Premium,H,VS2,62.0,60.0,1778,4.03,4.0,2.67,有限会社藤原食品鑑定所,オーストラリア
0.57,Premium,H,SI1,58.4,58.7,1148,3.87,3.82,2.17,合同会社斎藤情報鑑定所,ボツワナ
0.76,Good,E,VVS1,67.2,60.6,1629,4.25,4.12,2.25,有限会社林通信鑑定所,南アフリカ
0.66,Premium,J,SI2,55.0,61.9,1454,4.13,4.12,1.99,株式会社阿部食品鑑定所,カナダ
2.8,Very Good,H,IF,67.9,60.8,23447,7.02,6.99,4.08,渡辺水産合同会社鑑定所,カナダ
0.49,Ideal,E,VS2,59.8,59.8,855,3.58,3.55,2.21,有限会社太田鉱業鑑定所,カナダ
0.69,Premium,G,SI1,60.6,55.7,1628,3.95,3.84,2.6,渡辺農林有限会社鑑定所,カナダ
1.2,Premium,D,I1,60.6,62.9,5391,5.12,5.0,2.76,有限会社中村保険鑑定所,ロシア
1.39,Very Good,H,SI2,66.8,57.6,5799,4.85,4.71,2.93,合同会社高橋運輸鑑定所,ロシア
1.65,Ideal,H,IF,59.8,57.2,9203,5.58,5.41,3.05,有限会社斎藤通信鑑定所,カナダ
1.8,Ideal,D,SI1,61.0,58.9,13024,6.38,6.32,3.93,西村食品株式会社鑑定所,オーストラリア
0.53,Ideal,E,SI1,55.8,60.4,919,3.82,3.79,2.08,斎藤建設株式会社鑑定所,ボツワナ
1.06,Very Good,G,IF,56.1,61.8,3439,4.62,4.61,2.73,有限会社小林通信鑑定所,ロシア
1.84,Very Good,F,VS2,61.6,56.5,11674,5.8,5.68,3.22,小川食品有限会社鑑定所,カナダ
1.81,Premium,E,I1,67.3,58.5,11761,5.55,5.37,2.99,吉田印刷有限会社鑑定所,カナダ
1.19,Premium,F,VVS1,69.5,59.6,4915,5.02,4.9,3.18,株式会社清水通信鑑定所,カナダ
0.61,Very Good,E,SI1,58.0,59.8,1280,3.87,3.76,2.32,高橋電気合同会社鑑定所,南アフリカ
1.29,Premium,J,VS2,64.0,61.1,5369,4.82,4.83,2.76,合同会社小林農林鑑定所,南アフリカ
2.51,Very Good,J,IF,58.2,62.4,20420,6.13,6.09,4.15,森銀行株式会社鑑定所,南アフリカ
1.86,Very Good,G,SI1,64.3,57.6,10471,5.95,5.75,4.12,田中建設合同会社鑑定所,カナダ
0.7,Good,F,I1,50.9,57.9,1355,4.25,4.22,3.12,松田ガス株式会社鑑定所,カナダ
0.57,Very Good,G,VS1,65.5,58.9,967,4.13,4.02,2.77,合同会社阿部鉱業鑑定所,カナダ
0.78,Premium,E,VS2,56.9,60.6,2020,4.39,4.3,3.0,合同会社藤田水産鑑定所,南アフリカ
1.5,Very Good,I,I1,71.4,56.1,6859,4.93,4.58,2.82,佐藤保険合同会社鑑定所,南アフリカ
0.27,Premium,E,I1,61.9,59.5,500,3.0,3.0,2.14,株式会社山田農林鑑定所,南アフリカ
0.75,Ideal,F,SI1,57.0,64.4,2186,4.25,4.25,2.54,鈴木情報合同会社鑑定所,オーストラリア
0.7,Premium,G,VS1,56.5,61.0,1773,4.01,3.94,2.28,加藤情報株式会社鑑定所,南アフリカ
0.34,Good,G,IF,56.7,60.5,500,3.22,3.16,1.9,合同会社山口情報鑑定所,南アフリカ
1.25,Premium,H,SI1,66.7,62.3,5162,5.63,5.49,3.29,渡辺通信有限会社鑑定所,オーストラリア
1.03,Good,J,I1,57.6,54.1,2649,4.29,4.15,3.15,近藤水産有限会社鑑定所,南アフリカ
1.44,Good,F,VVS2,61.3,63.2,5451,5.53,5.43,3.09,鈴木印刷有限会社鑑定所,カナダ
1.3,Ideal,D,I1,65.9,64.8,6402,4.61,4.45,2.34,高橋電気株式会社鑑定所,南アフリカ
1.48,Premium,I,IF,48.3,61.0,7518,5.01,4.9,3.12,有限会社中村銀行鑑定所,ロシア
0.75,Very Good,J,I1,57.0,59.9,1674,4.43,4.48,2.38,合同会社鈴木食品鑑定所,カナダ
1.15,Good,I,VS1,59.3,62.2,3174,4.89,4.78,2.89,合同会社高橋情報鑑定所,ロシア
0.41,Ideal,F,VS1,64.5,55.4,571,3.42,3.37,2.09,伊藤電気合同会社鑑定所,カナダ
0.48,Ideal,J,I1,65.3,58.6,711,3.65,3.62,2.1,近藤水産株式会社鑑定所,オーストラリア
0.53,Ideal,D,VS2,54.5,59.4,931,3.94,3.72,2.33,有限会社中島食品鑑定所,ロシア
3.21,Premium,H,VS2,56.5,61.4,30487,6.44,6.28,4.33,太田鉱業有限会社鑑定所,オーストラリア
3.75,Very Good,H,VS1,59.8,61.0,35876,6.6,6.62,3.78,山本印刷株式会社鑑定所,オーストラリア
2.26,Premium,G,I1,61.3,63.1,16616,5.73,5.62,3.55,有限会社林鉱業鑑定所,ボツワナ
5.0,Premium,D,VVS1,55.8,59.7,72233,8.23,8.1,5.5,佐藤通信株式会社鑑定所,カナダ
1.61,Ideal,D,VVS1,59.0,63.4,9876,5.47,5.34,3.24,村上印刷有限会社鑑定所,南アフリカ
0.6,Very Good,H,SI1,62.3,63.3,992,4.06,3.9,2.89,田中食品株式会社鑑定所,南アフリカ
1.28,Very Good,E,I1,62.3,61.5,4836,4.95,4.79,3.01,田中印刷有限会社鑑定所,南アフリカ
1.19,Good,J,SI2,59.3,57.6,4247,4.88,4.71,2.76,合同会社岡田電気鑑定所,カナダ
0.86,Premium,I,VS1,67.3,60.0,2432,4.54,4.41,2.68,山崎銀行合同会社鑑定所,カナダ
1.25,Premium,D,VS2,57.6,63.5,4771,4.93,4.93,2.76,株式会社山田情報鑑定所,南アフリカ
1.15,Premium,F,VS1,60.0,63.0,3644,5.16,4.96,3.18,藤井建設有限会社鑑定所,ボツワナ
2.46,Good,I,VVS2,54.9,57.0,18367,5.78,5.64,3.15,合同会社中村食品鑑定所,ロシア
1.09,Premium,I,VS2,56.9,60.0,3187,4.77,4.7,2.63,合同会社山本運輸鑑定所,南アフリカ
0.65,Good,J,SI1,56.7,59.5,1273,4.17,4.05,2.72,株式会社山口電気鑑定所,南アフリカ
1.6,Very Good,G,SI1,67.1,62.8,7923,5.28,4.91,3.13,有限会社森印刷鑑定所,ボツワナ
0.81,Ideal,F,I1,60.8,59.4,2233,4.19,4.07,2.6,阿部農林株式会社鑑定所,ロシア
0.42,Premium,I,I1,52.8,59.4,602,3.45,3.19,2.07,合同会社山本建設鑑定所,ロシア
0.78,Premium,I,VS1,54.3,63.1,1955,4.33,4.27,2.74,阿部印刷有限会社鑑定所,南アフリカ
0.96,Premium,D,VS1,72.3,57.0,3029,4.48,4.41,2.61,有限会社岡田情報鑑定所,オーストラリア
0.64,Good,E,VVS2,54.3,59.3,963,3.66,3.6,1.92,有限会社高橋保険鑑定所,南アフリカ
0.27,Ideal,G,IF,58.7,64.7,500,3.04,3.0,1.75,合同会社中村水産鑑定所,南アフリカ
1.25,Good,F,SI2,57.1,60.3,4194,5.16,5.12,3.01,佐藤銀行株式会社鑑定所,カナダ
2.17,Premium,G,IF,62.6,65.8,18456,6.25,6.25,3.79,松本ガス合同会社鑑定所,南アフリカ
0.46,Very Good,H,VS2,63.2,57.9,685,3.64,3.61,2.21,高橋鉱業有限会社鑑定所,カナダ
0.98,Good,I,IF,58.1,59.0,2592,4.66,4.45,2.65,合同会社小林運輸鑑定所,ボツワナ
0.79,Very Good,F,VS1,54.8,63.7,2056,4.49,4.41,2.79,有限会社佐藤農林鑑定所,南アフリカ
0.64,Ideal,J,VVS2,60.0,55.1,1305,3.96,3.89,2.49,吉田水産株式会社鑑定所,オーストラリア
1.06,Ideal,E,SI2,52.2,59.8,4174,4.42,4.35,3.16,株式会社加藤運輸鑑定所,オーストラリア
1.75,Fair,J,I1,70.1,55.9,7062,5.76,5.46,3.59,加藤鉱業株式会社鑑定所,ボツワナ
1.24,Premium,F,SI2,53.5,57.1,5061,5.43,5.3,3.46,鈴木鉱業合同会社鑑定所,ボツワナ
1.27,Premium,E,VS2,56.5,56.7,5620,4.97,4.93,2.67,合同会社佐藤保険鑑定所,ボツワナ
2.0,Very Good,H,I1,63.1,51.3,12095,6.11,5.96,3.66,加藤通信株式会社鑑定所,ロシア
2.72,Very Good,F,VVS2,50.1,62.7,18036,6.8,6.58,4.35,株式会社阿部食品鑑定所,カナダ
0.67,Ideal,E,SI2,57.4,54.2,1731,3.84,3.82,2.63,株式会社佐藤情報鑑定所,カナダ
2.33,Premium,H,VS1,58.2,50.0,19254,6.06,6.11,3.51,有限会社小川電気鑑定所,カナダ
0.72,Very Good,D,VVS2,62.0,63.7,1432,3.62,3.56,2.25,合同会社後藤ガス鑑定所,ボツワナ
0.59,Ideal,I,I1,64.8,53.4,1158,3.87,3.82,2.29,株式会社山下保険鑑定所,南アフリカ
0.71,Ideal,D,VVS1,54.3,62.0,1837,3.92,3.76,2.49,株式会社鈴木電気鑑定所,ボツワナ
1.26,Very Good,E,VS1,67.3,54.8,5176,5.16,5.01,2.8,松田銀行有限会社鑑定所,南アフリカ
0.52,Premium,H,SI2,52.5,63.2,744,3.82,3.85,2.42,株式会社斉藤食品鑑定所,オーストラリア
0.61,Premium,J,I1,58.2,58.9,1113,4.04,3.95,2.51,合同会社山本鉱業鑑定所,ロシア
0.87,Good,F,VVS2,54.4,62.2,2097,4.39,4.29,2.77,清水電気有限会社鑑定所,オーストラリア
1.77,Ideal,J,I1,58.5,59.8,10038,5.51,5.47,3.54,合同会社松本ガス鑑定所,カナダ
1.14,Premium,I,VS1,60.0,66.9,4125,4.88,4.69,3.38,有限会社藤田銀行鑑定所,オーストラリア
2.62,Premium,H,IF,55.0,59.2,22140,6.49,6.39,4.34,福田農林株式会社鑑定所,ボツワナ
1.34,Premium,I,IF,57.6,60.1,6490,5.11,5.15,3.02,林農林合同会社鑑定所,カナダ
1.05,Premium,G,I1,52.4,63.3,3004,4.82,4.62,2.56,佐藤運輸株式会社鑑定所,南アフリカ
1.14,Very Good,J,VVS2,61.1,58.5,4279,4.79,4.64,2.75,株式会社田中電気鑑定所,南アフリカ
0.54,Premium,E,VVS1,58.5,58.4,833,3.87,3.91,2.22,株式会社佐藤印刷鑑定所,ボツワナ
0.99,Ideal,I,VVS2,61.2,56.0,3409,4.71,4.62,2.51,合同会社田中建設鑑定所,南アフリカ
1.21,Very Good,H,SI1,61.0,60.2,4326,4.58,4.41,2.52,合同会社加藤銀行鑑定所,ロシア
0.55,Ideal,G,SI1,59.5,66.1,1137,4.15,4.01,2.3,青木保険有限会社鑑定所,ロシア
1.47,Very Good,H,SI2,70.8,57.1,7749,5.13,5.11,3.73,木村情報株式会社鑑定所,ロシア
1.32,Very Good,E,VS2,59.8,55.4,5384,5.35,5.37,3.15,青木情報株式会社鑑定所,カナダ
1.29,Ideal,I,VS2,59.9,66.3,6476,5.43,5.23,3.44,三浦食品合同会社鑑定所,ロシア
0.65,Premium,D,I1,57.5,60.0,1370,3.7,3.59,2.53,有限会社中村運輸鑑定所,南アフリカ
0.96,Premium,J,SI2,59.6,59.3,2735,4.72,4.73,2.96,伊藤食品株式会社鑑定所,オーストラリア
0.61,Very Good,J,SI1,58.3,59.6,920,3.61,3.63,2.3,株式会社山崎鉱業鑑定所,オーストラリア
0.3,Premium,H,SI2,63.0,58.2,500,3.12,3.03,2.1,山本通信株式会社鑑定所,南アフリカ
0.81,Ideal,H,VS2,60.6,58.8,2686,4.33,4.35,2.35,合同会社遠藤印刷鑑定所,ロシア
2.01,Premium,F,VS2,56.6,57.3,11117,6.33,6.15,3.79,阿部運輸株式会社鑑定所,ロシア
2.4,Very Good,E,VS1,60.8,57.9,15493,6.38,6.12,3.87,有限会社加藤保険鑑定所,オーストラリア
1.18,Fair,G,VS2,57.5,61.7,3962,4.42,4.4,2.46,株式会社佐藤建設鑑定所,オーストラリア
0.56,Premium,D,IF,60.1,61.3,906,4.04,3.79,2.14,加藤通信有限会社鑑定所,南アフリカ
1.53,Very Good,H,VVS2,62.8,57.2,8437,5.04,4.99,2.79,木村銀行株式会社鑑定所,オーストラリア
1.63,Premium,E,VVS2,58.5,67.3,9560,5.27,5.03,3.1,山崎運輸株式会社鑑定所,ロシア
1.24,Very Good,E,VS2,61.9,62.4,4745,5.0,5.05,2.87,合同会社加藤保険鑑定所,ボツワナ
1.0,Very Good,E,I1,55.4,59.0,2612,4.77,4.89,2.92,合同会社中村運輸鑑定所,ボツワナ
0.67,Premium,F,VS1,62.1,62.6,1610,4.29,4.26,2.86,合同会社石川ガス鑑定所,ロシア
2.76,Premium,G,IF,61.7,53.7,27497,6.91,6.79,4.27,木村水産株式会社鑑定所,南アフリカ
0.91,Premium,F,SI1,68.8,56.8,2638,4.77,4.65,2.86,株式会社岡田印刷鑑定所,ボツワナ
0.98,Good,E,VVS2,61.1,63.6,2601,4.8,4.49,2.74,森印刷合同会社鑑定所,カナダ
0.78,Ideal,H,SI2,59.1,58.1,1963,4.13,3.94,2.17,岡本運輸合同会社鑑定所,ロシア
0.8,Very Good,H,VVS2,60.0,61.8,1883,4.44,4.25,2.62,斎藤水産有限会社鑑定所,南アフリカ
1.4,Premium,J,SI2,63.3,57.2,7215,5.9,5.94,3.21,橋本ガス株式会社鑑定所,ロシア
0.8,Ideal,F,SI2,65.4,60.6,2200,4.35,4.29,2.98,斉藤建設株式会社鑑定所,ボツワナ
1.6,Very Good,F,VS1,65.2,60.9,7070,5.84,5.58,3.61,佐々木鉱業合同会社鑑定所,カナダ
1.6,Premium,I,SI2,59.7,64.7,9198,5.39,5.16,3.38,斎藤建設株式会社鑑定所,南アフリカ
0.34,Very Good,E,SI1,54.9,62.1,500,3.41,3.29,1.94,吉田電気有限会社鑑定所,カナダ
1.36,Premium,D,VVS2,62.3,59.4,6420,5.31,5.28,3.02,斎藤運輸合同会社鑑定所,オーストラリア
0.48,Ideal,H,VVS1,63.4,59.1,769,3.63,3.47,2.39,吉田鉱業有限会社鑑定所,オーストラリア
1.18,Very Good,E,VS1,58.8,59.9,4326,5.09,5.05,2.8,合同会社山田建設鑑定所,ロシア
0.93,Very Good,E,VVS1,56.1,58.8,2560,4.42,4.35,2.76,佐藤ガス有限会社鑑定所,ロシア
0.42,Very Good,G,VS1,62.0,65.0,500,3.7,3.68,2.06,太田鉱業合同会社鑑定所,ロシア
2.55,Ideal,D,VS2,63.5,64.8,20000,6.39,6.4,4.01,合同会社加藤農林鑑定所,ロシア
1.6,Good,H,VS1,60.3,60.3,6654,5.29,5.2,3.22,福田食品有限会社鑑定所,南アフリカ
0.69,Premium,G,I1,58.3,61.0,1648,3.92,3.99,2.25,有限会社近藤運輸鑑定所,カナダ
0.91,Premium,G,VVS2,61.5,58.1,2408,4.56,4.53,3.01,株式会社近藤水産鑑定所,ロシア
1.12,Premium,H,VVS2,53.1,61.9,3951,4.86,4.78,2.89,山下水産合同会社鑑定所,ロシア
1.24,Ideal,H,VS1,58.4,62.1,5338,5.05,4.97,2.96,鈴木水産合同会社鑑定所,南アフリカ
0.6,Premium,D,VS1,56.7,59.5,1166,3.82,3.77,2.35,株式会社吉田銀行鑑定所,カナダ
0.95,Good,I,IF,62.4,62.6,2140,4.51,4.4,2.69,有限会社佐々木食品鑑定所,オーストラリア
0.72,Very Good,G,SI2,63.0,58.3,1445,3.9,3.78,2.37,佐藤水産有限会社鑑定所,ボツワナ
1.55,Good,D,VVS2,61.4,60.7,6269,4.86,4.75,3.24,合同会社渡辺鉱業鑑定所,ロシア
0.59,Fair,G,VVS2,55.0,62.9,815,4.09,4.0,2.49,合同会社佐藤銀行鑑定所,ボツワナ
2.39,Premium,H,VS2,50.4,59.2,18176,6.35,6.27,3.94,林銀行株式会社鑑定所,ロシア
1.53,Premium,F,IF,61.0,59.2,8257,5.87,5.88,3.9,有限会社渡辺食品鑑定所,カナダ
1.24,Ideal,F,I1,68.6,59.2,4096,5.0,5.03,3.02,長谷川電気合同会社鑑定所,カナダ
1.65,Premium,J,VS1,55.5,57.9,8191,5.6,5.34,3.44,佐々木銀行合同会社鑑定所,オーストラリア
1.53,Premium,E,IF,64.0,63.7,7547,4.8,4.79,2.71,伊藤食品有限会社鑑定所,オーストラリア
0.65,Premium,E,VS2,55.8,57.3,1221,4.15,4.1,2.42,株式会社佐藤ガス鑑定所,オーストラリア
1.96,Good,G,VS1,61.2,57.0,12137,5.59,5.38,2.97,有限会社阿部ガス鑑定所,ロシア
0.68,Fair,E,IF,68.0,59.4,1024,3.92,3.84,2.53,吉田建設株式会社鑑定所,ボツワナ
1.04,Premium,F,IF,58.6,56.3,4150,5.05,4.86,3.54,株式会社鈴木運輸鑑定所,南アフリカ
1.39,Premium,G,VVS1,63.2,62.3,6537,4.94,4.91,2.85,合同会社山本銀行鑑定所,南アフリカ
0.81,Premium,J,I1,64.3,60.8,1710,4.51,4.56,3.14,株式会社近藤食品鑑定所,オーストラリア
0.49,Premium,D,IF,56.5,56.4,741,3.63,3.67,2.2,加藤通信合同会社鑑定所,南アフリカ
0.54,Fair,D,VS2,55.4,64.1,629,4.1,4.11,2.34,伊藤通信合同会社鑑定所,カナダ
2.29,Premium,I,I1,51.8,58.8,18876,6.57,6.36,3.87,佐藤農林株式会社鑑定所,ボツワナ
1.01,Ideal,I,VS2,55.1,57.4,3753,4.55,4.41,2.91,株式会社山口鉱業鑑定所,オーストラリア
0.53,Very Good,I,SI1,62.3,64.6,834,3.46,3.47,2.21,株式会社坂本情報鑑定所,ロシア
0.72,Ideal,J,VVS1,55.2,58.8,1815,4.4,4.3,2.82,合同会社佐々木農林鑑定所,カナダ
1.61,Ideal,D,IF,55.8,54.3,8313,5.69,5.52,3.28,合同会社清水電気鑑定所,南アフリカ
0.81,Premium,G,VVS2,56.8,63.5,2266,4.4,4.32,2.73,森ガス合同会社鑑定所,ボツワナ
2.49,Premium,J,SI1,61.3,63.8,22990,6.02,5.97,3.67,松本農林合同会社鑑定所,ロシア
2.01,Ideal,D,SI1,72.1,64.5,11521,5.82,5.71,3.16,有限会社中島銀行鑑定所,カナダ
1.35,Premium,H,VS2,52.2,61.1,6287,5.05,5.02,3.23,中川保険合同会社鑑定所,カナダ
0.97,Very Good,D,VVS1,58.8,55.8,2935,4.62,4.5,2.42,有限会社鈴木農林鑑定所,ボツワナ
1.39,Very Good,F,VVS1,57.1,63.1,5711,5.52,5.27,2.93,佐藤鉱業有限会社鑑定所,ボツワナ
1.15,Very Good,F,VVS2,54.6,62.3,3864,4.55,4.49,2.78,遠藤電気有限会社鑑定所,オーストラリア
1.42,Very Good,G,VVS2,59.1,61.2,5708,5.27,5.36,2.79,田中建設有限会社鑑定所,ロシア
1.08,Premium,E,VVS2,55.5,60.5,3895,4.74,4.57,2.9,株式会社長谷川運輸鑑定所,南アフリカ
1.28,Premium,G,VS2,64.6,59.6,5592,5.08,4.96,2.97,木村鉱業有限会社鑑定所,ボツワナ
0.87,Very Good,I,IF,58.0,61.0,2071,4.3,4.23,2.32,有限会社前田印刷鑑定所,カナダ
0.85,Very Good,G,IF,61.8,59.2,2183,4.61,4.52,2.41,佐々木銀行有限会社鑑定所,カナダ
1.12,Premium,H,VVS2,69.1,62.3,4420,4.87,4.93,2.74,株式会社林電気鑑定所,オーストラリア
1.32,Premium,E,VVS2,61.5,55.2,5883,5.0,4.61,3.0,合同会社鈴木建設鑑定所,南アフリカ
1.4,Very Good,H,VVS1,54.1,64.0,4842,5.58,5.39,3.72,村上鉱業有限会社鑑定所,ロシア
0.79,Premium,I,SI1,59.5,51.9,1573,4.0,3.84,2.27,合同会社岡本通信鑑定所,南アフリカ
0.85,Very Good,J,SI2,61.7,58.9,2088,4.21,4.11,2.29,加藤情報合同会社鑑定所,ボツワナ
