がく片長,がく片幅,花弁長,花弁幅,品種,採取地,採取日
5.2,3.1,1.3,0.2,スミレ,台東区,2023-12-17
4.9,3.7,1.6,0.2,スミレ,横浜市旭区,2025-02-17
4.7,2.8,1.4,0.3,スミレ,横浜市青葉区,2023-09-25
5.1,2.9,1.5,0.2,スミレ,東大和市,2025-05-04
4.7,3.5,1.5,0.1,スミレ,横浜市神奈川区,2025-02-26
6.1,3.0,4.8,1.5,アヤメ,板橋区,2024-05-04
5.2,2.5,4.5,1.4,アヤメ,匝瑳市,2025-02-06
6.2,4.0,4.6,1.5,アヤメ,印旛郡印旛村,2024-12-19
6.4,3.0,4.2,1.5,アヤメ,川崎市多摩区,2023-12-29
5.5,2.7,4.1,1.3,アヤメ,夷隅郡大多喜町,2025-01-11
7.1,2.2,4.6,1.0,アヤメ,府中市,2023-12-10
5.7,3.1,4.3,1.1,アヤメ,墨田区,2024-03-21
5.5,3.0,4.0,1.3,アヤメ,三宅島三宅村,2024-05-22
5.9,2.6,5.3,1.4,アヤメ,川崎市幸区,2024-11-09
4.9,2.9,4.0,1.5,アヤメ,国立市,2024-11-16
5.5,2.8,4.5,1.5,アヤメ,福生市,2024-12-16
5.3,2.7,4.1,1.2,アヤメ,長生郡一宮町,2024-02-03
6.8,2.9,3.7,1.5,アヤメ,川崎市中原区,2024-09-14
7.0,3.1,3.6,1.2,アヤメ,印旛郡酒々井町,2025-03-28
6.5,2.6,4.5,1.5,アヤメ,東大和市,2023-08-25
5.4,2.8,2.8,1.1,アヤメ,国分寺市,2024-10-23
5.8,2.4,5.1,1.0,アヤメ,荒川区,2024-09-24
5.7,2.8,5.0,1.0,アヤメ,印旛郡本埜村,2024-03-27
6.5,2.8,3.8,1.4,アヤメ,鎌ケ谷市,2024-09-05
6.0,2.6,4.3,1.2,アヤメ,八王子市,2024-09-13
6.0,3.0,5.0,1.1,アヤメ,横浜市南区,2024-06-23
7.0,2.2,4.2,1.4,アヤメ,長生郡長南町,2023-10-08
6.0,2.6,4.2,1.2,アヤメ,三鷹市,2025-01-06
5.6,3.1,4.5,1.2,アヤメ,印旛郡栄町,2023-10-30
6.4,2.9,4.7,1.4,アヤメ,国立市,2024-09-19
5.5,2.6,4.7,1.4,アヤメ,南房総市,2025-04-24
5.9,2.8,4.9,1.2,アヤメ,長生郡長生村,2025-01-27
6.2,2.7,4.2,1.5,アヤメ,山武郡横芝光町,2023-11-17
6.3,3.1,4.9,1.3,アヤメ,横浜市瀬谷区,2023-09-19
6.2,2.7,4.5,1.3,アヤメ,青ヶ島村,2024-04-07
5.9,3.0,3.9,1.7,アヤメ,横浜市瀬谷区,2024-08-04
5.4,2.4,4.8,1.5,アヤメ,横浜市栄区,2025-06-17
6.2,3.0,4.3,1.1,アヤメ,横浜市港北区,2025-04-10
5.9,2.6,4.8,1.3,アヤメ,中野区,2025-06-29
5.5,2.7,4.5,1.2,アヤメ,横浜市戸塚区,2024-05-16
5.5,2.9,4.4,1.2,アヤメ,長生郡白子町,2025-02-16
5.7,2.9,3.6,1.0,アヤメ,清瀬市,2024-05-05
5.5,2.7,4.4,1.6,アヤメ,大島町,2025-07-03
6.3,2.8,4.3,1.1,アヤメ,府中市,2024-05-26
5.9,2.7,4.5,1.1,アヤメ,横浜市神奈川区,2023-07-28
6.2,3.3,4.2,1.4,アヤメ,山武市,2023-11-24
6.3,2.7,4.4,1.3,アヤメ,いすみ市,2024-02-12
5.9,2.6,4.3,1.4,アヤメ,横浜市緑区,2025-02-24
6.6,3.1,5.3,1.1,アヤメ,立川市,2024-09-29
6.3,2.9,5.3,1.1,アヤメ,小笠原村,2025-01-13
5.5,2.6,3.3,1.2,アヤメ,文京区,2024-07-31
5.5,2.8,4.5,1.7,アヤメ,町田市,2024-12-28
6.4,2.6,3.9,1.4,アヤメ,長生郡睦沢町,2025-07-11
5.2,3.4,4.9,1.2,アヤメ,八千代市,2024-01-02
5.0,3.2,4.2,1.5,アヤメ,練馬区,2024-12-15
5.6,2.8,5.6,2.0,カキツバタ,袖ケ浦市,2024-08-02
6.3,3.2,5.0,2.0,カキツバタ,富里市,2025-03-20
6.7,3.2,6.0,1.7,カキツバタ,目黒区,2025-03-06
5.6,3.4,5.8,1.8,カキツバタ,横浜市泉区,2023-08-09
7.6,3.0,6.2,2.0,カキツバタ,神津島村,2025-05-26
7.9,3.6,5.5,2.3,カキツバタ,国分寺市,2024-10-08
7.0,3.4,5.1,2.2,カキツバタ,稲城市,2025-02-23
7.3,2.4,4.9,1.4,カキツバタ,台東区,2023-11-01
6.4,3.2,6.4,2.0,カキツバタ,豊島区,2024-01-31
7.6,2.6,4.7,2.0,カキツバタ,香取郡神崎町,2025-06-11
6.8,3.0,4.5,2.0,カキツバタ,江東区,2025-03-01
5.8,3.2,5.8,1.7,カキツバタ,小金井市,2024-02-07
6.3,2.7,5.6,2.3,カキツバタ,横浜市青葉区,2024-04-20
6.0,3.2,5.3,1.8,カキツバタ,川崎市宮前区,2023-08-19
6.5,2.7,5.3,1.7,カキツバタ,北区,2024-03-10
7.9,3.0,5.2,2.1,カキツバタ,北区,2025-01-19
6.5,2.9,5.9,2.2,カキツバタ,青ヶ島村,2023-10-12
6.3,2.8,5.4,1.4,カキツバタ,東村山市,2023-11-11
5.6,3.4,6.5,1.9,カキツバタ,江戸川区,2024-09-20
7.0,3.1,7.3,2.3,カキツバタ,長生郡白子町,2024-08-07
6.5,2.7,4.7,2.1,カキツバタ,大網白里市,2024-12-09
6.1,2.5,5.2,1.7,カキツバタ,利島村,2023-08-16
7.7,3.3,5.6,2.4,カキツバタ,世田谷区,2024-08-10
6.6,2.7,6.4,2.1,カキツバタ,八王子市,2024-10-10
5.9,2.9,5.1,1.6,カキツバタ,港区,2025-02-16
7.2,3.6,4.8,2.2,カキツバタ,武蔵村山市,2024-10-05
6.2,2.8,5.3,1.8,カキツバタ,印旛郡栄町,2025-01-27
6.6,2.7,5.7,2.0,カキツバタ,印旛郡本埜村,2024-11-25
6.4,2.7,5.3,2.2,カキツバタ,足立区,2024-12-25
6.9,2.7,5.7,2.2,カキツバタ,東久留米市,2024-03-13
5.5,3.2,5.2,2.2,カキツバタ,川崎市高津区,2024-08-05
6.1,2.4,4.7,2.0,カキツバタ,八丈島八丈町,2024-02-15
6.8,2.7,6.0,1.6,カキツバタ,西多摩郡奥多摩町,2025-07-02
6.6,2.6,5.2,2.0,カキツバタ,渋谷区,2025-04-28
6.0,2.9,6.2,1.8,カキツバタ,東村山市,2025-03-21
7.1,2.6,5.9,2.4,カキツバタ,横浜市西区,2023-10-24
5.0,2.7,5.9,1.9,カキツバタ,新島村,2024-07-08
6.8,2.8,5.6,2.0,カキツバタ,武蔵野市,2024-10-10
7.3,3.1,5.8,1.9,カキツバタ,稲城市,2024-08-04
6.3,2.9,5.8,1.9,カキツバタ,横浜市港北区,2025-05-22
6.8,3.7,6.1,1.9,カキツバタ,多摩市,2024-10-29
7.4,2.9,4.5,1.7,カキツバタ,八王子市,2024-05-04
5.4,2.9,5.6,2.5,カキツバタ,西多摩郡奥多摩町,2024-10-17
6.8,2.9,6.1,1.4,カキツバタ,あきる野市,2024-10-20
6.8,3.2,4.8,2.3,カキツバタ,福生市,2024-04-03
6.8,2.9,5.9,2.6,カキツバタ,青梅市,2024-08-10
6.7,3.1,5.3,1.8,カキツバタ,川崎市中原区,2025-01-16
7.1,2.7,5.6,1.9,カキツバタ,御蔵島村,2023-12-16
6.9,3.1,6.2,1.9,カキツバタ,羽村市,2024-12-17
6.4,2.7,5.4,2.1,カキツバタ,我孫子市,2024-12-03
